transaction_id,customer_id,source_account,beneficiary_account,timestamp,amount,channel,location,device_id,days_since_last_txn,account_status,kyc_risk,is_international,customer_avg_amount,previous_alerts,story
TXN-10330,CUS-2024,ACC-1024,ACC-1036,2026-07-27 04:00:00,29726.23,UPI,Delhi,DEV-024,7,Active,Medium,False,44236.35,0,Normal
TXN-10122,CUS-2026,ACC-1026,ACC-1029,2026-07-27 02:00:00,29292.08,Branch,Pune,DEV-026,1,Active,Medium,False,38911.09,2,Normal
TXN-10067,CUS-2005,ACC-1005,ACC-1004,2026-07-27 01:00:00,23154.73,Mobile Banking,Delhi,DEV-005,5,Active,Medium,False,27541.04,1,Normal
TXN-10027,CUS-2015,ACC-1015,ACC-1010,2026-07-27 01:00:00,9121.43,Mobile Banking,Delhi,DEV-015,2,Active,Low,False,7318.84,2,Normal
TXN-10054,CUS-2005,ACC-1005,ACC-1029,2026-07-27 01:00:00,12895.28,RTGS,Lucknow,DEV-005,14,Active,Medium,False,19196.39,1,Normal
TXN-10301,CUS-2024,ACC-1024,ACC-1010,2026-07-26 23:00:00,17216.95,UPI,Chennai,DEV-024,4,Active,Low,True,15279.21,0,Normal
TXN-10353,CUS-2015,ACC-1015,ACC-1020,2026-07-26 23:00:00,81787.5,UPI,Mumbai,DEV-015,6,Active,Low,False,106866.0,2,Normal
TXN-10266,CUS-2026,ACC-1026,ACC-1033,2026-07-26 19:00:00,35779.56,Branch,Mumbai,DEV-026,17,Active,Medium,False,47539.62,2,Normal
TXN-10102,CUS-2037,ACC-1037,ACC-1017,2026-07-26 18:00:00,43716.4,RTGS,Chennai,DEV-037,1,Active,Low,False,30850.7,0,Normal
TXN-10198,CUS-2011,ACC-1011,ACC-1002,2026-07-26 18:00:00,87319.36,Mobile Banking,Chennai,DEV-011,9,Active,Low,False,86240.82,2,Normal
TXN-10171,CUS-2018,ACC-1018,ACC-1001,2026-07-26 14:00:00,16953.34,ATM,Lucknow,DEV-018,8,Active,Medium,False,21941.41,0,Normal
TXN-10049,CUS-2017,ACC-1017,ACC-1031,2026-07-26 14:00:00,13316.65,RTGS,Delhi,DEV-017,4,Active,Medium,False,15630.29,1,Normal
TXN-10004,CUS-2021,ACC-1021,ACC-1006,2026-07-26 08:00:00,30037.18,NEFT,Lucknow,DEV-021,17,Active,Medium,False,31512.68,0,Normal
TXN-10138,CUS-2006,ACC-1006,ACC-1036,2026-07-26 04:00:00,41697.8,ATM,Delhi,DEV-006,8,Active,High,False,33739.9,1,Normal
TXN-10308,CUS-2007,ACC-1007,ACC-1010,2026-07-26 04:00:00,25716.05,Internet Banking,Chennai,DEV-007,5,Active,Medium,False,22341.24,1,Normal
TXN-10295,CUS-2034,ACC-1034,ACC-1015,2026-07-26 01:00:00,15611.77,RTGS,Mumbai,DEV-034,3,Active,Medium,True,15347.34,0,Normal
TXN-10191,CUS-2025,ACC-1025,ACC-1039,2026-07-26 00:00:00,10749.11,Internet Banking,Kolkata,DEV-025,6,Active,Low,False,14248.36,1,Normal
TXN-10162,CUS-2012,ACC-1012,ACC-1031,2026-07-25 21:00:00,8298.37,NEFT,Kolkata,DEV-012,7,Active,Low,False,11046.63,0,Normal
TXN-10073,CUS-2029,ACC-1029,ACC-1012,2026-07-25 19:00:00,5892.22,UPI,Pune,DEV-029,14,Active,Medium,False,4599.29,2,Normal
TXN-10315,CUS-2030,ACC-1030,ACC-1036,2026-07-25 16:00:00,54067.7,UPI,Jaipur,DEV-030,16,Active,Medium,False,51466.51,2,Normal
TXN-10335,CUS-2030,ACC-1030,ACC-1017,2026-07-25 09:00:00,15442.52,Branch,Delhi,DEV-030,9,Active,High,False,20941.58,2,Normal
TXN-10148,CUS-2029,ACC-1029,ACC-1026,2026-07-25 09:00:00,28933.83,Internet Banking,Chennai,DEV-029,3,Active,Low,False,24873.78,2,Normal
TXN-10230,CUS-2022,ACC-1022,ACC-1022,2026-07-25 06:00:00,4472.87,UPI,Mumbai,DEV-022,3,Active,High,False,3245.9,1,Normal
TXN-10188,CUS-2022,ACC-1022,ACC-1031,2026-07-25 05:00:00,8476.01,RTGS,Kolkata,DEV-022,6,Active,High,False,6666.38,1,Normal
TXN-10294,CUS-2039,ACC-1039,ACC-1038,2026-07-25 05:00:00,24186.49,Branch,Chennai,DEV-039,15,Active,Low,False,33308.52,1,Normal
TXN-10121,CUS-2009,ACC-1009,ACC-1008,2026-07-25 04:00:00,4798.26,NEFT,Jaipur,DEV-009,15,Active,Medium,False,6143.98,1,Normal
TXN-10065,CUS-2021,ACC-1021,ACC-1031,2026-07-25 00:00:00,19220.72,ATM,Pune,DEV-021,2,Active,Low,False,21936.89,2,Normal
TXN-10273,CUS-2007,ACC-1007,ACC-1023,2026-07-24 23:00:00,10235.11,Branch,Pune,DEV-007,5,Active,High,False,8605.21,1,Normal
TXN-10357,CUS-2035,ACC-1035,ACC-1018,2026-07-24 23:00:00,14252.52,UPI,Mumbai,DEV-035,1,Active,Medium,False,11030.84,0,Normal
TXN-10149,CUS-2036,ACC-1036,ACC-1026,2026-07-24 23:00:00,22869.62,Mobile Banking,Chennai,DEV-036,2,Active,Low,False,32561.26,0,Normal
TXN-10072,CUS-2020,ACC-1020,ACC-1033,2026-07-24 21:00:00,35568.7,NEFT,Chennai,DEV-020,1,Active,Low,False,28349.87,0,Normal
TXN-10246,CUS-2033,ACC-1033,ACC-1015,2026-07-24 20:00:00,41299.3,UPI,Lucknow,DEV-033,13,Active,Medium,False,53034.81,0,Normal
TXN-10030,CUS-2030,ACC-1030,ACC-1023,2026-07-24 18:00:00,11704.52,NEFT,Delhi,DEV-030,12,Active,Low,False,8839.14,2,Normal
TXN-10206,CUS-2031,ACC-1031,ACC-1008,2026-07-24 17:00:00,16291.99,ATM,Jaipur,DEV-031,15,Active,Medium,False,11844.15,2,Normal
TXN-10202,CUS-2030,ACC-1030,ACC-1019,2026-07-24 17:00:00,17526.06,Internet Banking,Mumbai,DEV-030,6,Active,Low,False,12545.52,1,Normal
TXN-10100,CUS-2023,ACC-1023,ACC-1031,2026-07-24 16:00:00,39659.22,Branch,Kolkata,DEV-023,17,Active,Medium,False,56203.89,2,Normal
TXN-10240,CUS-2026,ACC-1026,ACC-1020,2026-07-24 14:00:00,51126.97,Internet Banking,Chennai,DEV-026,14,Active,High,False,65240.3,2,Normal
TXN-10344,CUS-2039,ACC-1039,ACC-1021,2026-07-24 09:00:00,11662.06,RTGS,Chennai,DEV-039,2,Active,Low,False,8541.23,0,Normal
TXN-10318,CUS-2016,ACC-1016,ACC-1035,2026-07-24 09:00:00,20177.03,Internet Banking,Kolkata,DEV-016,6,Active,High,False,14154.92,1,Normal
TXN-10117,CUS-2002,ACC-1002,ACC-1023,2026-07-24 07:00:00,47223.22,RTGS,Chennai,DEV-002,4,Active,Medium,False,46597.12,1,Normal
TXN-10356,CUS-2019,ACC-1019,ACC-1033,2026-07-24 06:00:00,14983.99,UPI,Jaipur,DEV-019,16,Active,Medium,False,17920.39,2,Normal
TXN-10077,CUS-2026,ACC-1026,ACC-1005,2026-07-24 04:00:00,60521.35,Internet Banking,Lucknow,DEV-026,1,Active,High,False,63482.53,2,Normal
TXN-10068,CUS-2038,ACC-1038,ACC-1016,2026-07-24 03:00:00,12088.07,Mobile Banking,Kolkata,DEV-038,10,Active,Medium,True,12156.25,0,Normal
TXN-10001,CUS-2028,ACC-1028,ACC-1031,2026-07-24 02:00:00,21761.62,Branch,Pune,DEV-028,6,Active,Low,False,29363.99,2,Normal
TXN-10222,CUS-2018,ACC-1018,ACC-1024,2026-07-23 22:00:00,18609.54,RTGS,Pune,DEV-018,14,Active,Low,False,12346.21,1,Normal
TXN-10174,CUS-2033,ACC-1033,ACC-1035,2026-07-23 20:00:00,66362.06,Branch,Chennai,DEV-033,16,Active,Medium,False,76177.38,0,Normal
TXN-10039,CUS-2020,ACC-1020,ACC-1027,2026-07-23 19:00:00,24634.65,Internet Banking,Kolkata,DEV-020,9,Active,Medium,False,16922.86,2,Normal
TXN-10300,CUS-2021,ACC-1021,ACC-1006,2026-07-23 17:00:00,28951.44,Branch,Chennai,DEV-021,3,Active,Medium,True,41647.16,1,Normal
TXN-10136,CUS-2018,ACC-1018,ACC-1021,2026-07-23 17:00:00,29671.15,Branch,Lucknow,DEV-018,2,Active,Low,False,31443.29,0,Normal
TXN-10112,CUS-2020,ACC-1020,ACC-1016,2026-07-23 16:00:00,37526.79,UPI,Kolkata,DEV-020,0,Active,Medium,True,29671.1,1,Normal
TXN-10225,CUS-2005,ACC-1005,ACC-1016,2026-07-23 15:00:00,20423.27,ATM,Jaipur,DEV-005,16,Active,Medium,False,18418.82,1,Normal
TXN-10209,CUS-2028,ACC-1028,ACC-1037,2026-07-23 15:00:00,11283.85,UPI,Jaipur,DEV-028,8,Active,Medium,False,11522.7,1,Normal
TXN-10139,CUS-2033,ACC-1033,ACC-1039,2026-07-23 11:00:00,29018.18,NEFT,Lucknow,DEV-033,8,Active,High,False,27282.28,0,Normal
TXN-10153,CUS-2017,ACC-1017,ACC-1025,2026-07-23 06:00:00,12722.5,Mobile Banking,Lucknow,DEV-017,16,Active,High,False,18848.05,2,Normal
TXN-10007,CUS-2025,ACC-1025,ACC-1005,2026-07-23 04:00:00,35911.68,UPI,Chennai,DEV-025,14,Active,Medium,False,47174.28,1,Normal
TXN-10217,CUS-2030,ACC-1030,ACC-1014,2026-07-23 02:00:00,8196.3,Mobile Banking,Lucknow,DEV-030,4,Active,Low,False,9161.03,0,Normal
TXN-10177,CUS-2037,ACC-1037,ACC-1024,2026-07-23 01:00:00,15488.67,RTGS,Delhi,DEV-037,16,Active,Medium,False,11585.95,0,Normal
TXN-10182,CUS-2026,ACC-1026,ACC-1016,2026-07-23 01:00:00,46737.79,ATM,Lucknow,DEV-026,16,Active,High,False,43460.22,2,Normal
TXN-10349,CUS-2007,ACC-1007,ACC-1025,2026-07-23 00:00:00,13329.82,ATM,Kolkata,DEV-007,9,Active,Low,False,11759.34,1,Normal
TXN-10241,CUS-2011,ACC-1011,ACC-1027,2026-07-22 22:00:00,18578.47,Mobile Banking,Lucknow,DEV-011,14,Active,Medium,False,26570.57,2,Normal
TXN-10103,CUS-2039,ACC-1039,ACC-1018,2026-07-22 18:00:00,19057.28,Internet Banking,Delhi,DEV-039,0,Active,High,False,13367.72,0,Normal
TXN-10293,CUS-2000,ACC-1000,ACC-1005,2026-07-22 17:00:00,24703.36,Branch,Delhi,DEV-000,1,Active,Medium,False,26606.78,1,Normal
TXN-10236,CUS-2010,ACC-1010,ACC-1001,2026-07-22 16:00:00,33380.59,ATM,Pune,DEV-010,14,Active,Low,False,45843.15,0,Normal
TXN-10282,CUS-2026,ACC-1026,ACC-1015,2026-07-22 15:00:00,9541.51,Mobile Banking,Jaipur,DEV-026,11,Active,Medium,False,11821.81,2,Normal
TXN-10213,CUS-2012,ACC-1012,ACC-1013,2026-07-22 10:00:00,28488.9,ATM,Kolkata,DEV-012,17,Active,Medium,False,38183.81,1,Normal
TXN-10129,CUS-2012,ACC-1012,ACC-1030,2026-07-22 07:00:00,21587.13,RTGS,Delhi,DEV-012,17,Active,Medium,False,15349.5,2,Normal
TXN-10012,CUS-2013,ACC-1013,ACC-1000,2026-07-22 06:00:00,16733.18,NEFT,Jaipur,DEV-013,8,Active,Medium,False,13042.93,0,Normal
TXN-10006,CUS-2025,ACC-1025,ACC-1028,2026-07-22 04:00:00,32567.53,NEFT,Pune,DEV-025,14,Active,High,False,40062.01,1,Normal
TXN-10309,CUS-2014,ACC-1014,ACC-1020,2026-07-22 03:00:00,25313.44,Internet Banking,Jaipur,DEV-014,10,Active,Medium,False,21977.47,1,Normal
TXN-10118,CUS-2030,ACC-1030,ACC-1027,2026-07-22 01:00:00,55652.28,Branch,Mumbai,DEV-030,13,Active,Medium,False,60516.05,2,Normal
TXN-10329,CUS-2015,ACC-1015,ACC-1015,2026-07-22 00:00:00,19141.51,Internet Banking,Mumbai,DEV-015,5,Active,Low,False,20516.74,0,Normal
TXN-10289,CUS-2005,ACC-1005,ACC-1000,2026-07-21 20:00:00,25408.38,Internet Banking,Chennai,DEV-005,7,Active,Medium,False,36868.67,0,Normal
TXN-10075,CUS-2030,ACC-1030,ACC-1027,2026-07-21 18:00:00,7158.89,Internet Banking,Kolkata,DEV-030,11,Active,Low,False,7848.47,0,Normal
TXN-10145,CUS-2011,ACC-1011,ACC-1039,2026-07-21 17:00:00,17714.06,ATM,Mumbai,DEV-011,5,Active,Low,False,22633.85,2,Normal
TXN-10324,CUS-2028,ACC-1028,ACC-1008,2026-07-21 16:00:00,106278.89,ATM,Pune,DEV-028,7,Active,Low,False,132658.48,0,Normal
TXN-10226,CUS-2008,ACC-1008,ACC-1006,2026-07-21 14:00:00,7127.52,UPI,Jaipur,DEV-008,17,Active,Medium,False,8760.64,1,Normal
TXN-10355,CUS-2039,ACC-1039,ACC-1022,2026-07-21 14:00:00,37518.09,NEFT,Jaipur,DEV-039,8,Active,Low,False,54698.45,0,Normal
TXN-10212,CUS-2032,ACC-1032,ACC-1032,2026-07-21 14:00:00,20419.36,NEFT,Kolkata,DEV-032,7,Active,Medium,False,24225.64,1,Normal
TXN-10232,CUS-2029,ACC-1029,ACC-1034,2026-07-21 09:00:00,19435.12,ATM,Delhi,DEV-029,17,Active,Low,False,27886.38,1,Normal
TXN-10306,CUS-2005,ACC-1005,ACC-1001,2026-07-21 09:00:00,18009.1,NEFT,Chennai,DEV-005,10,Active,Medium,False,15929.69,2,Normal
TXN-10057,CUS-2000,ACC-1000,ACC-1012,2026-07-21 08:00:00,32125.82,NEFT,Pune,DEV-000,1,Active,Low,False,28634.45,2,Normal
TXN-10015,CUS-2010,ACC-1010,ACC-1028,2026-07-21 07:00:00,11246.31,Mobile Banking,Delhi,DEV-010,1,Active,Medium,False,9244.57,2,Normal
TXN-10111,CUS-2036,ACC-1036,ACC-1039,2026-07-21 06:00:00,49908.92,NEFT,Mumbai,DEV-036,5,Active,Medium,False,41619.17,2,Normal
TXN-10095,CUS-2007,ACC-1007,ACC-1039,2026-07-21 06:00:00,8822.29,ATM,Delhi,DEV-007,7,Active,Medium,False,6742.1,2,Normal
TXN-10304,CUS-2001,ACC-1001,ACC-1030,2026-07-21 05:00:00,25348.5,NEFT,Pune,DEV-001,16,Active,Low,False,33851.37,1,Normal
TXN-10281,CUS-2038,ACC-1038,ACC-1006,2026-07-21 02:00:00,6388.18,Branch,Jaipur,DEV-038,16,Active,Medium,False,8819.69,2,Normal
TXN-10264,CUS-2014,ACC-1014,ACC-1039,2026-07-21 00:00:00,5317.93,Internet Banking,Lucknow,DEV-014,4,Active,Medium,False,7947.62,0,Normal
TXN-10280,CUS-2007,ACC-1007,ACC-1033,2026-07-20 22:00:00,49655.95,Branch,Pune,DEV-007,5,Active,High,False,47850.48,2,Normal
TXN-10314,CUS-2019,ACC-1019,ACC-1017,2026-07-20 16:00:00,15130.87,UPI,Chennai,DEV-019,17,Active,Medium,False,16039.02,1,Normal
TXN-10159,CUS-2008,ACC-1008,ACC-1026,2026-07-20 15:00:00,8049.47,NEFT,Jaipur,DEV-008,3,Active,Low,False,8658.42,1,Normal
TXN-10192,CUS-2008,ACC-1008,ACC-1033,2026-07-20 11:00:00,29461.71,Internet Banking,Chennai,DEV-008,15,Active,Low,False,30761.69,0,Normal
TXN-10081,CUS-2013,ACC-1013,ACC-1019,2026-07-20 00:00:00,27266.69,NEFT,Lucknow,DEV-013,9,Active,Medium,False,37429.88,2,Normal
TXN-10005,CUS-2031,ACC-1031,ACC-1007,2026-07-19 23:00:00,20291.51,Branch,Lucknow,DEV-031,4,Active,Medium,False,27551.33,2,Normal
TXN-10287,CUS-2010,ACC-1010,ACC-1011,2026-07-19 22:00:00,23750.93,ATM,Lucknow,DEV-010,6,Active,Low,False,15716.24,1,Normal
TXN-10250,CUS-2010,ACC-1010,ACC-1038,2026-07-19 17:00:00,24128.52,RTGS,Chennai,DEV-010,5,Active,High,False,17529.39,0,Normal
TXN-10018,CUS-2007,ACC-1007,ACC-1013,2026-07-19 17:00:00,28479.71,UPI,Mumbai,DEV-007,10,Active,Medium,False,32578.0,0,Normal
TXN-10271,CUS-2020,ACC-1020,ACC-1024,2026-07-19 15:00:00,35314.36,Branch,Lucknow,DEV-020,1,Active,Medium,False,23285.02,2,Normal
TXN-10058,CUS-2031,ACC-1031,ACC-1033,2026-07-19 09:00:00,36512.38,RTGS,Delhi,DEV-031,11,Active,Low,False,51572.95,1,Normal
TXN-10319,CUS-2018,ACC-1018,ACC-1014,2026-07-19 08:00:00,22617.97,Internet Banking,Mumbai,DEV-018,3,Active,Medium,False,22164.04,0,Normal
TXN-10307,CUS-2039,ACC-1039,ACC-1016,2026-07-19 05:00:00,31488.16,Branch,Pune,DEV-039,4,Active,High,False,44004.71,1,Normal
TXN-10297,CUS-2012,ACC-1012,ACC-1028,2026-07-19 01:00:00,12712.28,Internet Banking,Delhi,DEV-012,15,Active,Low,False,17988.86,1,Normal
TXN-10255,CUS-2030,ACC-1030,ACC-1008,2026-07-18 23:00:00,12611.35,RTGS,Delhi,DEV-030,5,Active,High,False,14139.13,1,Normal
TXN-10279,CUS-2037,ACC-1037,ACC-1024,2026-07-18 15:00:00,14135.5,ATM,Pune,DEV-037,2,Active,Medium,False,17956.52,2,Normal
TXN-10267,CUS-2038,ACC-1038,ACC-1010,2026-07-18 14:00:00,9852.93,Branch,Delhi,DEV-038,10,Active,Low,False,9824.11,1,Normal
TXN-10024,CUS-2038,ACC-1038,ACC-1012,2026-07-18 13:00:00,43076.49,Internet Banking,Jaipur,DEV-038,9,Active,High,False,34026.83,0,Normal
TXN-10158,CUS-2035,ACC-1035,ACC-1037,2026-07-18 12:00:00,61908.71,UPI,Kolkata,DEV-035,2,Active,Medium,False,86803.54,2,Normal
TXN-10193,CUS-2017,ACC-1017,ACC-1027,2026-07-18 08:00:00,12739.13,ATM,Delhi,DEV-017,6,Active,Medium,False,13280.14,1,Normal
TXN-10124,CUS-2037,ACC-1037,ACC-1035,2026-07-18 08:00:00,24206.14,Internet Banking,Lucknow,DEV-037,10,Active,Medium,False,28115.64,1,Normal
TXN-10207,CUS-2018,ACC-1018,ACC-1009,2026-07-18 04:00:00,45105.21,RTGS,Chennai,DEV-018,6,Active,Low,False,36327.17,2,Normal
TXN-10080,CUS-2016,ACC-1016,ACC-1026,2026-07-17 23:00:00,19641.24,UPI,Chennai,DEV-016,6,Active,Medium,False,26865.43,1,Normal
TXN-10083,CUS-2012,ACC-1012,ACC-1007,2026-07-17 20:00:00,19634.69,RTGS,Jaipur,DEV-012,8,Active,Medium,False,12884.62,0,Normal
TXN-10229,CUS-2027,ACC-1027,ACC-1010,2026-07-17 20:00:00,18800.64,NEFT,Jaipur,DEV-027,6,Active,Medium,False,12289.23,2,Normal
TXN-10245,CUS-2036,ACC-1036,ACC-1028,2026-07-17 18:00:00,14954.62,Branch,Pune,DEV-036,0,Active,Medium,False,10113.2,1,Normal
TXN-10303,CUS-2009,ACC-1009,ACC-1008,2026-07-17 14:00:00,24688.25,RTGS,Lucknow,DEV-009,16,Active,Low,False,22648.86,1,Normal
TXN-10211,CUS-2028,ACC-1028,ACC-1025,2026-07-17 13:00:00,27141.77,RTGS,Delhi,DEV-028,8,Active,Medium,False,19034.01,2,Normal
TXN-10032,CUS-2038,ACC-1038,ACC-1036,2026-07-17 13:00:00,18747.61,Branch,Mumbai,DEV-038,11,Active,High,False,18864.73,0,Normal
TXN-10047,CUS-2007,ACC-1007,ACC-1029,2026-07-17 13:00:00,9429.72,ATM,Pune,DEV-007,15,Active,High,False,6891.53,0,Normal
TXN-10261,CUS-2017,ACC-1017,ACC-1008,2026-07-17 06:00:00,6674.16,UPI,Jaipur,DEV-017,7,Active,Low,False,4520.59,2,Normal
TXN-10190,CUS-2037,ACC-1037,ACC-1023,2026-07-17 01:00:00,22891.18,Internet Banking,Delhi,DEV-037,1,Active,Low,False,25860.93,2,Normal
TXN-10276,CUS-2007,ACC-1007,ACC-1001,2026-07-16 22:00:00,14490.56,Branch,Mumbai,DEV-007,7,Active,Low,False,20820.52,0,Normal
TXN-10009,CUS-2003,ACC-1003,ACC-1030,2026-07-16 16:00:00,24764.89,Branch,Delhi,DEV-003,10,Active,Medium,True,25290.15,0,Normal
TXN-10298,CUS-2017,ACC-1017,ACC-1013,2026-07-16 15:00:00,38259.4,Branch,Pune,DEV-017,2,Active,High,False,29120.72,0,Normal
TXN-10328,CUS-2003,ACC-1003,ACC-1012,2026-07-16 13:00:00,27974.17,Branch,Lucknow,DEV-003,10,Active,Medium,False,20055.57,2,Normal
TXN-10350,CUS-2033,ACC-1033,ACC-1021,2026-07-16 09:00:00,3991.89,ATM,Lucknow,DEV-033,1,Active,Low,False,5085.32,1,Normal
TXN-10062,CUS-2018,ACC-1018,ACC-1008,2026-07-16 05:00:00,58371.43,ATM,Delhi,DEV-018,15,Active,Medium,False,47519.32,0,Normal
TXN-10016,CUS-2028,ACC-1028,ACC-1012,2026-07-16 04:00:00,26138.63,Mobile Banking,Pune,DEV-028,15,Active,Low,False,26590.28,2,Normal
TXN-10247,CUS-2029,ACC-1029,ACC-1035,2026-07-16 04:00:00,8961.36,Branch,Lucknow,DEV-029,14,Active,Medium,False,6031.93,0,Normal
TXN-10166,CUS-2001,ACC-1001,ACC-1003,2026-07-16 03:00:00,19560.06,NEFT,Jaipur,DEV-001,4,Active,Low,False,25187.99,2,Normal
TXN-10150,CUS-2029,ACC-1029,ACC-1008,2026-07-16 03:00:00,34324.58,ATM,Chennai,DEV-029,17,Active,Medium,False,40559.86,1,Normal
TXN-10286,CUS-2007,ACC-1007,ACC-1027,2026-07-16 01:00:00,31234.16,Internet Banking,Pune,DEV-007,2,Active,Low,False,34157.52,1,Normal
TXN-10038,CUS-2023,ACC-1023,ACC-1006,2026-07-16 00:00:00,8185.14,UPI,Jaipur,DEV-023,0,Active,Low,False,9433.14,0,Normal
TXN-10277,CUS-2017,ACC-1017,ACC-1008,2026-07-15 19:00:00,33999.96,UPI,Lucknow,DEV-017,16,Active,Medium,True,44151.2,2,Normal
TXN-10094,CUS-2017,ACC-1017,ACC-1028,2026-07-15 19:00:00,36439.97,RTGS,Jaipur,DEV-017,5,Active,Medium,False,41492.05,1,Normal
TXN-10180,CUS-2032,ACC-1032,ACC-1039,2026-07-15 18:00:00,9390.25,Branch,Lucknow,DEV-032,17,Active,High,False,10770.99,1,Normal
TXN-10185,CUS-2030,ACC-1030,ACC-1030,2026-07-15 15:00:00,20268.86,NEFT,Kolkata,DEV-030,16,Active,Low,False,14080.56,1,Normal
TXN-10084,CUS-2016,ACC-1016,ACC-1011,2026-07-15 14:00:00,11524.38,ATM,Jaipur,DEV-016,17,Active,High,False,14949.62,1,Normal
